filename,bpm,error
001_Sophisticated_Savage.mp3,110.29,
001_kioto-pro-cinematic-music.mp3,140.08,
002_Song_X.mp3,120.34,
003_My_Heart_Beats_Like_A_Hammer.mp3,159.37,
003_going-the-way-of-the-wrangler.mp3,84.57,
004_Finally_Here.mp3,159.56,
004_jody-please-stop.mp3,115.31,
005_Aint_No_Use.mp3,88.59,
005_show-your-hand.mp3,107.3,
006_Chant_Of_The_Moon.mp3,114.83,
007_Without_A_Sound.mp3,132.85,
008_I_Guess_I_Knew.mp3,142.39,
009_From_This_Moment_On.mp3,129.42,
010_My_Blackbirds_Are_Bluebirds_Now.mp3,109.19,
011_Youre_My_Thrill.mp3,178.21,
012_The_Only_Dream.mp3,164.22,
013_Voodoo.mp3,206.72,
014_Little_Grass_Shack.mp3,126.38,
015_Desperado.mp3,154.46,
016_Beyond_The_Reef.mp3,85.33,
017_Stuck.mp3,206.72,
018_Late_Late_Show.mp3,133.97,
019_Ballad_Of_A_Gink.mp3,113.38,
020_Hello_Heartstring.mp3,165.29,
021_You_Showed_Me_The_Way.mp3,120.68,
022_persimmon.mp3,113.23,
023_07_Other_Side_Blues.mp3,198.77,
024_nur-du.mp3,141.86,
025_good-king-wenceslaus.mp3,154.39,
026_06_-_Dazie_Mae_-_Dinner_in_Paris.mp3,105.26,
027_Ill_Be_Blue.mp3,117.04,
028_02_-_Dazie_Mae_-_The_Dice_Man.mp3,184.57,
029_Red_Hot_Mama.mp3,184.57,
030_Im_The_Last_Of_The_Red_Hot_Mamas.mp3,138.28,
031_Has_Been_Blues.mp3,115.79,
032_11_-_Dazie_Mae_-_Jamie_s_Song.mp3,89.97,
033_07_-_Dazie_Mae_-_Time_With_My_Lover.mp3,123.06,
034_05_-_Dazie_Mae_-_Double_Blues.mp3,129.43,
035_Reuben_Rag.mp3,141.69,
036_Thinking_Of_You.mp3,125.22,
037_08_-_Dazie_Mae_-_Citizen_s_Arrest.mp3,155.93,
038_01_-_Dazie_Mae_-_Sad_Depressed___Lonely__don_t_clap_your_hands.mp3,133.19,
039_13_-_Dazie_Mae_-_The_Demon_Inside_Your_Head.mp3,142.51,
040_12_-_Dazie_Mae_-_The_Winter_Of_My_First_Love.mp3,103.92,
041_10_-_Dazie_Mae_-_Our_Love_Will_Never_Fold.mp3,92.96,
042_Bessemer.mp3,112.57,
043_Some_Of_These_Days.mp3,152.13,
044_03_-_Dazie_Mae_-_The_Bottlefield_Song.mp3,133.96,
045_04_-_Dazie_Mae_-_Can_t_Take_No_Chances.mp3,172.27,
046_09_-_Dazie_Mae_-_Frozen_on_the_Outskirts_of_your_Heart.mp3,117.73,
047_The_Way_I_Feel_Today.mp3,114.05,
048_International_Rag.mp3,178.21,
049_Konflikt.mp3,162.3,
050_WM030-04-SidPeacock04mp3.mp3,145.95,
051_No_More_Blues.mp3,122.89,
052_Blue_Monk.mp3,92.03,
053_WM030-01-SidPeacock01mp3.mp3,139.79,
054_Caravan.mp3,198.77,
055_Arana.mp3,198.77,
056_Avenue_B.mp3,133.81,
057_Balkan_improvisation.mp3,206.72,
058_WM030-07-SidPeacock07mp3.mp3,178.21,
059_WM030-02-SidPeacock02mp3.mp3,131.62,
060_Song_for_Bilbao.mp3,153.77,
061_C-mol_blues.mp3,138.83,
062_Blue_bossa.mp3,121.65,
063_WM030-03-SidPeacock03mp3.mp3,191.41,
064_WM030-06-SidPeacock06mp3.mp3,152.47,
065_Kurina_blues.mp3,159.07,
066_WM030-05-SidPeacock05mp3.mp3,191.41,
067_As_Lovers_Do.mp3,206.72,
068_Mistress_of_Pink_Noise.mp3,113.26,
069_ashes-of-paradise.mp3,93.52,
070_Thief_of_a_Day.mp3,93.06,
071_Low_Leaves_of_Summertime.mp3,105.76,
072_heart-like-a-wave.mp3,120.45,
073_TheKeeper.mp3,87.97,
074_Ann_Alee_-_Infant_Holy2C_Infant_Lowly.mp3,146.63,
075_any-single-thing.mp3,154.84,
076_baby-write.mp3,141.94,
077_goodbye-jazz.mp3,152.42,
078_wohin.mp3,85.95,
079_shelter-from-the-storm.mp3,139.96,
080_manchmal.mp3,114.82,
081_jazz-for-the-soul.mp3,119.95,
082_among-the-stars.mp3,142.14,
083_on-the-other-side.mp3,108.05,
084_a-serpent-i-did-hear.mp3,191.41,
085_02_My_Only_Friend.mp3,165.2,
086_05_Lonesome_People.mp3,154.61,
087_Games.mp3,97.28,
088_01_introduction_1037.mp3,117.11,
089_08_Drifting__Floating.mp3,100.01,
090_07_Gone_With_The_Wind.mp3,111.0,
091_04_Rebels_Outlaws_Misfits.mp3,191.41,
092_03_Back_On_The_Right_Track.mp3,178.21,
093_06_Never_Speak_To_Strangers.mp3,84.75,
094_epstein-bros-blues-nokings-xxx.mp3,130.78,
095_american-taliban-blues-nokings-xxx.mp3,165.11,
096_Body_amp_Soulmp3.mp3,138.02,
097_caldera-blue.mp3,109.01,
098_nouvelle-vague.mp3,164.37,
099_spring-rain.mp3,122.66,
100_athens.mp3,117.59,
