job_uid,genre,subgenre,prompt,tags,mv,status,ttapi_job_id,music_id_1,music_id_2,audio_url_1,audio_url_2,audio_path_1,audio_path_2,pair_group,submitted_at,completed_at,error
98ad3f1b-5b22-4aca-94ff-3300fab9ab93,jazz,bebop,"bebop jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, saxophone, piano",chirp-v4-5+,done,5bdc9c23-16a9-4d30-b911-8ad4c707383d,c81750ab-e84e-4e43-b8c8-2e9bb915a461,996a6195-a5c1-4db7-9e9a-0db3b3b08a1a,https://cdn.ttapi.io/suno/20260525/651a7409571b4d04985216c049af5ab0.mp3,https://cdn.ttapi.io/suno/20260525/a05fde923af84a18a99d6060a10bf77b.mp3,audio/jazz/98ad3f1b-5b22-4aca-94ff-3300fab9ab93_1.mp3,audio/jazz/98ad3f1b-5b22-4aca-94ff-3300fab9ab93_2.mp3,jazz,2026-05-25T19:31:29.872372+00:00,2026-05-25T19:32:59.045475+00:00,
589d8538-b3ee-42d8-91ba-43b3f47f6ad1,jazz,cool jazz,"cool jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, trumpet, swing",chirp-v4-5+,done,604a5bb5-3c4c-443d-98a9-cae261c3f35e,00aa2d25-2f89-4179-aac0-9c430ade13f2,dfd2b976-7874-48c2-9418-7c5280fb8fcc,https://cdn.ttapi.io/suno/20260525/b37c9700751347e68f8ac585fea01380.mp3,https://cdn.ttapi.io/suno/20260525/bbed89023bb4492a941fe09f3ade60d7.mp3,audio/jazz/589d8538-b3ee-42d8-91ba-43b3f47f6ad1_1.mp3,audio/jazz/589d8538-b3ee-42d8-91ba-43b3f47f6ad1_2.mp3,jazz,2026-05-25T19:31:31.114355+00:00,2026-05-25T19:33:25.389522+00:00,
0e189f0f-3786-47ff-9d2b-ba6a8f799fd1,jazz,fusion,"fusion jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, bass, drums",chirp-v4-5+,done,21b5f4ae-635c-4d27-9e1f-2a2c917c4eaf,b98c14c4-28b9-494b-babb-cd0aa346266b,7e4cdc09-c3e5-44f9-8cff-55b6706c8cdf,https://cdn.ttapi.io/suno/20260525/b2e336b2b15248719e4589cdba829670.mp3,https://cdn.ttapi.io/suno/20260525/d28bbf0bc76b465faaa3baf28ed22c0c.mp3,audio/jazz/0e189f0f-3786-47ff-9d2b-ba6a8f799fd1_1.mp3,audio/jazz/0e189f0f-3786-47ff-9d2b-ba6a8f799fd1_2.mp3,jazz,2026-05-25T19:31:32.444593+00:00,2026-05-25T19:32:59.305620+00:00,
48497cac-7e2c-46be-91e5-a19b1f7ffef7,jazz,smooth jazz,"smooth jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, guitar, bossa nova",chirp-v4-5+,done,9329f94a-feee-4de2-a163-e54e92a61887,c6937446-e8c3-46df-b75f-9d01ad8b4f20,8018cded-e4fe-4c06-b9aa-676b9262f6ec,https://cdn.ttapi.io/suno/20260525/a84e3a91983247c5b03de610e929672d.mp3,https://cdn.ttapi.io/suno/20260525/b039319017074392ba3942ae0e54a8da.mp3,audio/jazz/48497cac-7e2c-46be-91e5-a19b1f7ffef7_1.mp3,audio/jazz/48497cac-7e2c-46be-91e5-a19b1f7ffef7_2.mp3,jazz,2026-05-25T19:31:33.778995+00:00,2026-05-25T19:33:15.099562+00:00,
ae0ad733-e16a-426a-af25-44ec7d17152b,jazz,hard bop,"hard bop jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, fusion, electric",chirp-v4-5+,done,01b778be-ead1-447a-b9ed-0f34a2828317,b5a52fe8-eae2-4c0a-8c3c-14292546e6ef,8422a2d4-11df-44e5-acd7-04a3ebb7f94a,https://cdn.ttapi.io/suno/20260525/b3dcb9bb984345928064d95ea0f39a61.mp3,https://cdn.ttapi.io/suno/20260525/e5697d4b2b4c4faea1389b7923c1bd95.mp3,audio/jazz/ae0ad733-e16a-426a-af25-44ec7d17152b_1.mp3,audio/jazz/ae0ad733-e16a-426a-af25-44ec7d17152b_2.mp3,jazz,2026-05-25T19:31:35.048333+00:00,2026-05-25T19:32:45.214092+00:00,
efa4a562-88a8-42cd-b021-655d5be2da2c,jazz,free jazz,"free jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, saxophone, piano",chirp-v4-5+,done,85ce2e4c-e115-4bae-b245-7299ed2b9a11,53926b4a-7c81-4c79-b273-200217a7396d,d6da8ab8-2dcf-408f-ba20-6894a09ccfcc,https://cdn.ttapi.io/suno/20260525/d926812290aa4946b0df159ffd834c6e.mp3,https://cdn.ttapi.io/suno/20260525/3bee1800e4ec44369c1da4c48992b1fa.mp3,audio/jazz/efa4a562-88a8-42cd-b021-655d5be2da2c_1.mp3,audio/jazz/efa4a562-88a8-42cd-b021-655d5be2da2c_2.mp3,jazz,2026-05-25T19:31:36.363435+00:00,2026-05-25T19:33:06.600870+00:00,
c10f71a4-5e1b-48cb-896b-c5b3ef9fb81a,jazz,latin jazz,"latin jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, trumpet, swing",chirp-v4-5+,done,5f477d67-3b64-46a0-8602-3c120ee8a006,c4277e50-0ccb-4d74-8108-4622cf1a65d6,05e0c625-432b-41b1-8a12-d9877834ef09,https://cdn.ttapi.io/suno/20260525/262b49793bb6415db32f64e20cc0c99a.mp3,https://cdn.ttapi.io/suno/20260525/c7b6118670514330bbaf453de77d96e4.mp3,audio/jazz/c10f71a4-5e1b-48cb-896b-c5b3ef9fb81a_1.mp3,audio/jazz/c10f71a4-5e1b-48cb-896b-c5b3ef9fb81a_2.mp3,jazz,2026-05-25T19:31:37.663430+00:00,2026-05-25T19:33:25.561905+00:00,
09239847-088a-4825-b057-d5ee163f19a8,jazz,swing,"swing jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, bass, drums",chirp-v4-5+,done,938da9fa-650a-4caa-9aac-0c576590e97c,fc6748e2-347e-4280-8e24-aafa752afa0f,4740c08e-7040-4767-a545-6603eb28e8bf,https://cdn.ttapi.io/suno/20260525/f7eaccbdd55e4402bb79bb66b1f4dc1a.mp3,https://cdn.ttapi.io/suno/20260525/a0eac9ef20f74b1ea616c4c94f8659de.mp3,audio/jazz/09239847-088a-4825-b057-d5ee163f19a8_1.mp3,audio/jazz/09239847-088a-4825-b057-d5ee163f19a8_2.mp3,jazz,2026-05-25T19:31:38.947236+00:00,2026-05-25T19:32:53.632847+00:00,
1e95999d-d6e3-48bc-a4d2-f404496cf675,jazz,modal jazz,"modal jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, guitar, bossa nova",chirp-v4-5+,done,1669292a-f764-43fc-a7ea-f5d21bfc1a11,b269441c-cf37-4250-b783-6a75aaf55171,b97f9cc8-6b38-4148-9712-207726c2a03e,https://cdn.ttapi.io/suno/20260525/5fb1f30302e7432689398c6aec1a35f2.mp3,https://cdn.ttapi.io/suno/20260525/5affb2922e2c4f71af3ab863a62d4b09.mp3,audio/jazz/1e95999d-d6e3-48bc-a4d2-f404496cf675_1.mp3,audio/jazz/1e95999d-d6e3-48bc-a4d2-f404496cf675_2.mp3,jazz,2026-05-25T19:31:40.371422+00:00,2026-05-25T19:33:25.676611+00:00,
8dd7a846-6caa-4b36-a120-11c2e8efd8d2,jazz,post-bop,"post-bop jazz, late-night atmosphere, featuring saxophone and piano trio","jazz, fusion, electric",chirp-v4-5+,done,e71f8546-3875-43d3-8442-f0a7b243cba7,8dbd510c-1dce-413e-a855-533b3848f25b,0c382f48-6ec9-4783-bf65-ff38c1d9fe07,https://cdn.ttapi.io/suno/20260525/59e20220baad4c448e11daa078280fc7.mp3,https://cdn.ttapi.io/suno/20260525/592f970ea4864033b323f5f117eb1e06.mp3,audio/jazz/8dd7a846-6caa-4b36-a120-11c2e8efd8d2_1.mp3,audio/jazz/8dd7a846-6caa-4b36-a120-11c2e8efd8d2_2.mp3,jazz,2026-05-25T19:31:41.790842+00:00,2026-05-25T19:33:25.786656+00:00,
