genre,subgenre,prompt,tags,mv,pair_group
electronic,techno,"techno electronic, hypnotic atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, synth, bass",chirp-v5,electronic
electronic,house,"house electronic, hypnotic atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, techno, dance",chirp-v5,electronic
electronic,ambient,"ambient electronic, hypnotic atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, ambient, atmospheric",chirp-v5,electronic
electronic,drum and bass,"drum and bass electronic, hypnotic atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, synthwave, retro",chirp-v5,electronic
electronic,dubstep,"dubstep electronic, hypnotic atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, drum and bass, breakbeat",chirp-v5,electronic
electronic,trance,"trance electronic, hypnotic atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, synth, bass",chirp-v5,electronic
electronic,IDM,"IDM electronic, hypnotic atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, techno, dance",chirp-v5,electronic
electronic,synthwave,"synthwave electronic, hypnotic atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, ambient, atmospheric",chirp-v5,electronic
electronic,electro,"electro electronic, hypnotic atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, synthwave, retro",chirp-v5,electronic
electronic,minimal techno,"minimal techno electronic, hypnotic atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, drum and bass, breakbeat",chirp-v5,electronic
electronic,techno,"techno electronic, euphoric atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, synth, bass",chirp-v5,electronic
electronic,house,"house electronic, euphoric atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, techno, dance",chirp-v5,electronic
electronic,ambient,"ambient electronic, euphoric atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, ambient, atmospheric",chirp-v5,electronic
electronic,drum and bass,"drum and bass electronic, euphoric atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, synthwave, retro",chirp-v5,electronic
electronic,dubstep,"dubstep electronic, euphoric atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, drum and bass, breakbeat",chirp-v5,electronic
electronic,trance,"trance electronic, euphoric atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, synth, bass",chirp-v5,electronic
electronic,IDM,"IDM electronic, euphoric atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, techno, dance",chirp-v5,electronic
electronic,synthwave,"synthwave electronic, euphoric atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, ambient, atmospheric",chirp-v5,electronic
electronic,electro,"electro electronic, euphoric atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, synthwave, retro",chirp-v5,electronic
electronic,minimal techno,"minimal techno electronic, euphoric atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, drum and bass, breakbeat",chirp-v5,electronic
electronic,techno,"techno electronic, dark atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, synth, bass",chirp-v5,electronic
electronic,house,"house electronic, dark atmosphere, featuring four-on-the-floor kick over a modular synthesizer bassline","electronic, techno, dance",chirp-v5,electronic
