job_uid,genre,subgenre,prompt,tags,mv,status,ttapi_job_id,music_id_1,music_id_2,audio_url_1,audio_url_2,audio_path_1,audio_path_2,pair_group,submitted_at,completed_at,error
767931e1-b68d-4a64-9cd2-5a44cdd6d016,rock,classic rock,"classic rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, guitar, electric",chirp-v5,done,9398016e-a896-45a0-834d-52d1eb38315a,b10d9160-bc30-468c-a750-fcc94d96e5ae,45c644b7-5f0c-4595-a426-eae93e16b69f,https://cdn.ttapi.io/suno/20260525/41960d9d8ba2433aa181df5e8e1c75bf.mp3,https://cdn.ttapi.io/suno/20260525/0ad9f8a1cd4c43d0addaeab3332155fa.mp3,audio/rock/767931e1-b68d-4a64-9cd2-5a44cdd6d016_1.mp3,audio/rock/767931e1-b68d-4a64-9cd2-5a44cdd6d016_2.mp3,rock,2026-05-25T23:37:59.042360+00:00,2026-05-25T23:38:58.744731+00:00,
9883ee36-d7bb-4df4-9a8d-6b5b2a7a67ac,rock,alternative rock,"alternative rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, drums, bass",chirp-v5,done,c5e287db-d0d6-4f86-9e90-a0fce3864e24,47baf555-ee1b-46f6-8d74-83836f588718,6641e475-5446-482c-9053-9f4e206aad77,https://cdn.ttapi.io/suno/20260525/e698a3a7e7144708950c5c8389eddc60.mp3,https://cdn.ttapi.io/suno/20260525/effac93d9e174e7f8214af2675f52978.mp3,audio/rock/9883ee36-d7bb-4df4-9a8d-6b5b2a7a67ac_1.mp3,audio/rock/9883ee36-d7bb-4df4-9a8d-6b5b2a7a67ac_2.mp3,rock,2026-05-25T23:38:00.343357+00:00,2026-05-25T23:39:09.034695+00:00,
aecbe7f3-48ee-41ea-841a-93fe7891c8c4,rock,punk rock,"punk rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, punk, distortion",chirp-v5,done,bd7a3c1e-881f-4eaf-8a10-45439a33f14b,b72a2c5d-738b-4c95-bab1-52f7eeff1401,513aa8ad-d7a0-43f0-b7f7-cce7a049c83f,https://cdn.ttapi.io/suno/20260525/b3beab943e1d4a7db38dcd9494e06280.mp3,https://cdn.ttapi.io/suno/20260525/25544ba18d1f4ac0a33ce3fdb1a21756.mp3,audio/rock/aecbe7f3-48ee-41ea-841a-93fe7891c8c4_1.mp3,audio/rock/aecbe7f3-48ee-41ea-841a-93fe7891c8c4_2.mp3,rock,2026-05-25T23:38:01.654224+00:00,2026-05-25T23:38:38.966199+00:00,
d79056ec-159f-4573-afd0-40029cd0c3df,rock,indie rock,"indie rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, indie, alternative",chirp-v5,done,6f35ec07-178c-4aad-9a09-19d9c8bd8b6e,7cf49a5f-c0fd-47cb-bbde-90a1e2c3ea97,a967fb4f-83c0-44a3-92ea-a11c8017c4d2,https://cdn.ttapi.io/suno/20260525/9e5078bd4ec5405f8e9c760105ad730a.mp3,https://cdn.ttapi.io/suno/20260525/f74f66a38a414f6cb39514555961228a.mp3,audio/rock/d79056ec-159f-4573-afd0-40029cd0c3df_1.mp3,audio/rock/d79056ec-159f-4573-afd0-40029cd0c3df_2.mp3,rock,2026-05-25T23:38:02.968744+00:00,2026-05-25T23:39:09.220579+00:00,
b72c9b64-c053-4244-bc92-1411746ee86b,rock,hard rock,"hard rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, classic, anthem",chirp-v5,done,631fe986-655e-4823-a306-a01fefde3b7e,16e51fc8-39a1-46e6-919c-b70bcf298771,0e7a57cf-442c-47f6-8f10-fcf1c746a6f8,https://cdn.ttapi.io/suno/20260525/8d7195a6b7d348b5935c23af718eb0a9.mp3,https://cdn.ttapi.io/suno/20260525/5691b586d29f4422ae2f7e3a7b993ba3.mp3,audio/rock/b72c9b64-c053-4244-bc92-1411746ee86b_1.mp3,audio/rock/b72c9b64-c053-4244-bc92-1411746ee86b_2.mp3,rock,2026-05-25T23:38:04.354770+00:00,2026-05-25T23:39:09.352308+00:00,
bf9842c2-ce3a-42e0-94ae-e2dfc9b3d43c,rock,grunge,"grunge rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, guitar, electric",chirp-v5,done,40daa7f7-89df-4355-8583-00fc22d1a7a6,9c900bd9-c97f-4b69-b82e-9b8f8fa4cc29,35cd9ce8-145a-4196-b95c-27184908cfe9,https://cdn.ttapi.io/suno/20260525/133e3a38dd194cf9913d73e8962b4dba.mp3,https://cdn.ttapi.io/suno/20260525/25eb0fc7d9264f578459e0c6983f1a68.mp3,audio/rock/bf9842c2-ce3a-42e0-94ae-e2dfc9b3d43c_1.mp3,audio/rock/bf9842c2-ce3a-42e0-94ae-e2dfc9b3d43c_2.mp3,rock,2026-05-25T23:38:05.660297+00:00,2026-05-25T23:39:09.470028+00:00,
0dc4f02a-7275-424c-a599-271f6fd6ba13,rock,progressive rock,"progressive rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, drums, bass",chirp-v5,done,5ff6c52e-3bc9-4511-89c5-e141865f51e0,b28cbd01-92f3-48e5-9bf8-acb056f9ef50,f1362eb9-439c-4d3b-bfbc-7465e8e04961,https://cdn.ttapi.io/suno/20260525/f6671dc738df4f29973f39046e8a8f1a.mp3,https://cdn.ttapi.io/suno/20260525/4ae85dddfd80422684f0d8d4b85c3701.mp3,audio/rock/0dc4f02a-7275-424c-a599-271f6fd6ba13_1.mp3,audio/rock/0dc4f02a-7275-424c-a599-271f6fd6ba13_2.mp3,rock,2026-05-25T23:38:06.957214+00:00,2026-05-25T23:39:34.369120+00:00,
151a615a-7279-4967-b475-9af3f55e1201,rock,psychedelic rock,"psychedelic rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, punk, distortion",chirp-v5,done,88c37288-e30a-4660-8b89-f83de0175594,77986853-93e8-46c4-ac86-5bc4d2782df9,ed68f40f-8eb5-49b0-b374-cd440e6e3971,https://cdn.ttapi.io/suno/20260525/853bd7ff1c3a4f7a8129b3ccdc1811ac.mp3,https://cdn.ttapi.io/suno/20260525/d6cb2d14162642fca7a6c8929df2c674.mp3,audio/rock/151a615a-7279-4967-b475-9af3f55e1201_1.mp3,audio/rock/151a615a-7279-4967-b475-9af3f55e1201_2.mp3,rock,2026-05-25T23:38:08.273081+00:00,2026-05-25T23:39:09.676885+00:00,
be37d658-4279-43d6-8fe2-15e3629dae45,rock,garage rock,"garage rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, indie, alternative",chirp-v5,done,f9d386d0-8c38-4151-8311-483d7c757b0b,7cc57678-1f4d-4d6e-b96c-d52d0fd2d737,60bbc35c-12bd-4991-80d4-729bf3660ad6,https://cdn.ttapi.io/suno/20260525/b54f9a9535134eae9a0f5f06ef3d1e3f.mp3,https://cdn.ttapi.io/suno/20260525/a79f95ae8601414e96b1c722eaf0bbcf.mp3,audio/rock/be37d658-4279-43d6-8fe2-15e3629dae45_1.mp3,audio/rock/be37d658-4279-43d6-8fe2-15e3629dae45_2.mp3,rock,2026-05-25T23:38:09.587112+00:00,2026-05-25T23:38:59.553801+00:00,
ce197673-e217-4e69-8303-190b169ba4a2,rock,glam rock,"glam rock, energetic atmosphere, featuring electric guitar riffs and power chords over a driving drum beat","rock, classic, anthem",chirp-v5,done,4b58f02c-bb56-4b63-8017-e4478cc20521,e703f640-0d91-4caf-9e35-50844d84a853,07bfc59e-3145-4198-acf4-018f897d73c3,https://cdn.ttapi.io/suno/20260525/8c5b76690fc84d63b8c72a8851660039.mp3,https://cdn.ttapi.io/suno/20260525/1f34046973f44646945e32c55e56e5a9.mp3,audio/rock/ce197673-e217-4e69-8303-190b169ba4a2_1.mp3,audio/rock/ce197673-e217-4e69-8303-190b169ba4a2_2.mp3,rock,2026-05-25T23:38:10.921671+00:00,2026-05-25T23:38:59.732374+00:00,
